frame_id,timestamp_mmwave,x,y,z,velocity,range,azimuth,elevation,snr,noise,timestamp_dist,box1_distance,box2_distance,box3_distance,box4_distance,box5_distance,box1_active,box2_active,box3_active,box4_active,box5_active,timestamp,loop_id
233,2025-05-15 12:31:56.150189,0.0552014783024787,0.4545370638370514,0.0,0.4829031527042389,0.4578767799401786,6.924404429314044,0.0,468,410,2025-05-15 12:31:56.081254,165.0,220.0,183.0,191.0,187.0,0,0,0,0,0,2025-05-15 12:31:56.150189,7
233,2025-05-15 12:31:56.150189,0.0448511987924575,0.4940012991428375,0.0,0.4829031527042389,0.4960331779104416,5.1877557896812485,0.0,416,418,2025-05-15 12:31:56.081254,165.0,220.0,183.0,191.0,187.0,0,0,0,0,0,2025-05-15 12:31:56.150189,7
233,2025-05-15 12:31:56.150189,0.0379510186612606,0.4180010855197906,0.0,0.603628933429718,0.4197203679989222,5.187756543830322,0.0,177,609,2025-05-15 12:31:56.081254,165.0,220.0,183.0,191.0,187.0,0,0,0,0,0,2025-05-15 12:31:56.150189,7
233,2025-05-15 12:31:56.150189,0.0414011068642139,0.4560011923313141,0.0,0.603628933429718,0.4578767727862619,5.187755903208119,0.0,409,404,2025-05-15 12:31:56.081254,165.0,220.0,183.0,191.0,187.0,0,0,0,0,0,2025-05-15 12:31:56.150189,7
233,2025-05-15 12:31:56.150189,0.0448511987924575,0.4940012991428375,0.0,0.603628933429718,0.4960331779104416,5.1877557896812485,0.0,360,410,2025-05-15 12:31:56.081254,165.0,220.0,183.0,191.0,187.0,0,0,0,0,0,2025-05-15 12:31:56.150189,7
234,2025-05-15 12:31:56.247597,0.0552014783024787,0.4545370638370514,0.0,0.1207257881760597,0.4578767799401786,6.924404429314044,0.0,226,418,2025-05-15 12:31:56.176216,164.0,222.0,182.0,192.0,190.0,0,0,0,0,0,2025-05-15 12:31:56.247597,7
234,2025-05-15 12:31:56.247597,0.074752002954483,0.4903682768344879,0.0,0.1207257881760597,0.4960331731561227,8.667471831411751,0.0,221,426,2025-05-15 12:31:56.176216,164.0,222.0,182.0,192.0,190.0,0,0,0,0,0,2025-05-15 12:31:56.247597,7
234,2025-05-15 12:31:56.247597,0.0414011068642139,0.4560011923313141,0.0,0.2414515763521194,0.4578767727862619,5.187755903208119,0.0,241,396,2025-05-15 12:31:56.176216,164.0,222.0,182.0,192.0,190.0,0,0,0,0,0,2025-05-15 12:31:56.247597,7
234,2025-05-15 12:31:56.247597,-0.1104029566049575,0.4443673491477966,0.0,0.2414515763521194,0.4578767889025998,-13.952615101748616,0.0,241,396,2025-05-15 12:31:56.176216,164.0,222.0,182.0,192.0,190.0,0,0,0,0,0,2025-05-15 12:31:56.247597,7
234,2025-05-15 12:31:56.247597,0.0598016008734703,0.4924151301383972,0.0,0.2414515763521194,0.4960331560049635,6.924404669381843,0.0,228,406,2025-05-15 12:31:56.176216,164.0,222.0,182.0,192.0,190.0,0,0,0,0,0,2025-05-15 12:31:56.247597,7
234,2025-05-15 12:31:56.247597,-0.1196032017469406,0.4813979268074035,0.0,0.2414515763521194,0.4960331539348813,-13.952615930916044,0.0,228,406,2025-05-15 12:31:56.176216,164.0,222.0,182.0,192.0,190.0,0,0,0,0,0,2025-05-15 12:31:56.247597,7
235,2025-05-15 12:31:56.350470,0.0552014783024787,0.4545370638370514,0.0,0.1207257881760597,0.4578767799401786,6.924404429314044,0.0,238,419,2025-05-15 12:31:56.271092,161.0,211.0,183.0,188.0,194.0,0,0,0,0,0,2025-05-15 12:31:56.350470,7
235,2025-05-15 12:31:56.350470,-0.096602588891983,0.4475702047348022,0.0,0.1207257881760597,0.4578767829307206,-12.179756321494557,0.0,238,419,2025-05-15 12:31:56.271092,161.0,211.0,183.0,188.0,194.0,0,0,0,0,0,2025-05-15 12:31:56.350470,7
235,2025-05-15 12:31:56.350470,0.0598016008734703,0.4924151301383972,0.0,0.1207257881760597,0.4960331560049635,6.924404669381843,0.0,241,419,2025-05-15 12:31:56.271092,161.0,211.0,183.0,188.0,194.0,0,0,0,0,0,2025-05-15 12:31:56.350470,7
235,2025-05-15 12:31:56.350470,-0.1196032017469406,0.4813979268074035,0.0,0.1207257881760597,0.4960331539348813,-13.952615930916044,0.0,241,419,2025-05-15 12:31:56.271092,161.0,211.0,183.0,188.0,194.0,0,0,0,0,0,2025-05-15 12:31:56.350470,7
235,2025-05-15 12:31:56.350470,0.0552014783024787,0.4545370638370514,0.0,0.2414515763521194,0.4578767799401786,6.924404429314044,0.0,197,415,2025-05-15 12:31:56.271092,161.0,211.0,183.0,188.0,194.0,0,0,0,0,0,2025-05-15 12:31:56.350470,7
235,2025-05-15 12:31:56.350470,-0.1104029566049575,0.4443673491477966,0.0,0.2414515763521194,0.4578767889025998,-13.952615101748616,0.0,197,415,2025-05-15 12:31:56.271092,161.0,211.0,183.0,188.0,194.0,0,0,0,0,0,2025-05-15 12:31:56.350470,7
235,2025-05-15 12:31:56.350470,0.0598016008734703,0.4924151301383972,0.0,0.2414515763521194,0.4960331560049635,6.924404669381843,0.0,195,417,2025-05-15 12:31:56.271092,161.0,211.0,183.0,188.0,194.0,0,0,0,0,0,2025-05-15 12:31:56.350470,7
235,2025-05-15 12:31:56.350470,-0.1196032017469406,0.4813979268074035,0.0,0.2414515763521194,0.4960331539348813,-13.952615930916044,0.0,195,417,2025-05-15 12:31:56.271092,161.0,211.0,183.0,188.0,194.0,0,0,0,0,0,2025-05-15 12:31:56.350470,7
236,2025-05-15 12:31:56.446053,0.0414011068642139,0.4560011923313141,0.0,-0.1207257881760597,0.4578767727862619,5.187755903208119,0.0,162,410,2025-05-15 12:31:56.366651,161.0,205.0,184.0,188.0,189.0,0,0,0,0,0,2025-05-15 12:31:56.446053,7
237,2025-05-15 12:31:56.546572,0.0,0.4960331618785858,0.0,-0.1207257881760597,0.4960331618785858,0.0,0.0,167,420,2025-05-15 12:31:56.461920,161.0,204.0,182.0,185.0,190.0,0,0,0,0,0,2025-05-15 12:31:56.546572,7
237,2025-05-15 12:31:56.546572,-0.1644544005393982,0.4679782688617706,0.0,-0.1207257881760597,0.4960331742773183,-19.362220289053944,0.0,167,420,2025-05-15 12:31:56.461920,161.0,204.0,182.0,185.0,190.0,0,0,0,0,0,2025-05-15 12:31:56.546572,7
238,2025-05-15 12:31:56.647411,0.0897023975849151,0.4878548681735992,0.0,-0.2414515763521194,0.4960331566872945,10.418663248211915,0.0,218,411,2025-05-15 12:31:56.557269,162.0,203.0,187.0,192.0,193.0,0,0,0,0,0,2025-05-15 12:31:56.647411,7
238,2025-05-15 12:31:56.647411,0.0828022137284278,0.450327605009079,0.0,-0.1207257881760597,0.4578767939430227,10.41866254059262,0.0,204,415,2025-05-15 12:31:56.557269,162.0,203.0,187.0,192.0,193.0,0,0,0,0,0,2025-05-15 12:31:56.647411,7
238,2025-05-15 12:31:56.647411,0.0897023975849151,0.4878548681735992,0.0,-0.1207257881760597,0.4960331566872945,10.418663248211915,0.0,286,412,2025-05-15 12:31:56.557269,162.0,203.0,187.0,192.0,193.0,0,0,0,0,0,2025-05-15 12:31:56.647411,7
239,2025-05-15 12:31:56.746666,0.0690018534660339,0.4526476562023163,0.0,-0.1207257881760597,0.4578767917761265,8.667472095978377,0.0,215,419,2025-05-15 12:31:56.653080,163.0,202.0,183.0,192.0,193.0,0,0,0,0,0,2025-05-15 12:31:56.746666,7
239,2025-05-15 12:31:56.746666,0.074752002954483,0.4903682768344879,0.0,-0.1207257881760597,0.4960331731561227,8.667471831411751,0.0,257,414,2025-05-15 12:31:56.653080,163.0,202.0,183.0,192.0,193.0,0,0,0,0,0,2025-05-15 12:31:56.746666,7
240,2025-05-15 12:31:56.846703,0.0552014783024787,0.4545370638370514,0.0,0.1207257881760597,0.4578767799401786,6.924404429314044,0.0,179,419,2025-05-15 12:31:56.748110,165.0,193.0,180.0,191.0,199.0,0,0,0,0,0,2025-05-15 12:31:56.846703,7
240,2025-05-15 12:31:56.846703,-0.1104029566049575,0.4443673491477966,0.0,0.1207257881760597,0.4578767889025998,-13.952615101748616,0.0,179,419,2025-05-15 12:31:56.748110,165.0,193.0,180.0,191.0,199.0,0,0,0,0,0,2025-05-15 12:31:56.846703,7
240,2025-05-15 12:31:56.846703,0.0598016008734703,0.4924151301383972,0.0,0.1207257881760597,0.4960331560049635,6.924404669381843,0.0,213,419,2025-05-15 12:31:56.748110,165.0,193.0,180.0,191.0,199.0,0,0,0,0,0,2025-05-15 12:31:56.846703,7
241,2025-05-15 12:31:56.949766,0.0448511987924575,0.4940012991428375,0.0,0.1207257881760597,0.4960331779104416,5.1877557896812485,0.0,303,413,2025-05-15 12:31:56.875239,163.0,198.0,182.0,197.0,192.0,0,0,0,0,0,2025-05-15 12:31:56.949766,7
241,2025-05-15 12:31:56.949766,0.0,0.4578767716884613,0.0,-0.603628933429718,0.4578767716884613,0.0,0.0,261,416,2025-05-15 12:31:56.875239,163.0,198.0,182.0,197.0,192.0,0,0,0,0,0,2025-05-15 12:31:56.949766,7
241,2025-05-15 12:31:56.949766,-0.1656044274568557,0.426879733800888,0.0,-0.603628933429718,0.4578767667432254,-21.20334723509489,0.0,261,416,2025-05-15 12:31:56.875239,163.0,198.0,182.0,197.0,192.0,0,0,0,0,0,2025-05-15 12:31:56.949766,7
241,2025-05-15 12:31:56.949766,-0.0138003695756196,0.4576687514781952,0.0,-0.4829031527042389,0.4578767697536463,-1.7271518209468613,0.0,348,397,2025-05-15 12:31:56.875239,163.0,198.0,182.0,197.0,192.0,0,0,0,0,0,2025-05-15 12:31:56.949766,7
241,2025-05-15 12:31:56.949766,-0.1794047951698303,0.4212660193443298,0.0,-0.4829031527042389,0.4578767733617267,-23.06772705812111,0.0,348,397,2025-05-15 12:31:56.875239,163.0,198.0,182.0,197.0,192.0,0,0,0,0,0,2025-05-15 12:31:56.949766,7
241,2025-05-15 12:31:56.949766,-0.0299008004367351,0.4951311349868774,0.0,-0.4829031527042389,0.4960331629036015,-3.4558755825689405,0.0,317,407,2025-05-15 12:31:56.875239,163.0,198.0,182.0,197.0,192.0,0,0,0,0,0,2025-05-15 12:31:56.949766,7
241,2025-05-15 12:31:56.949766,-0.0276007391512393,0.4570441246032715,0.0,-0.3621773719787597,0.4578767657744444,-3.455875618362123,0.0,315,427,2025-05-15 12:31:56.875239,163.0,198.0,182.0,197.0,192.0,0,0,0,0,0,2025-05-15 12:31:56.949766,7
